#{"t_start": 1596742130.3220997, "env_id": null}
r,l,t
-12312.687469,2000,697.652933
-248.756623,142,784.297836
-8815.611599,1898,1596.247632
-13529.372575,2000,2245.330988
-4716.19581,988,2597.933286
270.201622,51,2621.272196
-1268.801036,1780,3236.598075
-217.098166,590,3435.864242
93.264414,283,3556.302566
208.518075,122,3624.32031
124.888429,178,3693.356471
-64.069124,351,3822.734639
75.463615,194,3897.660486
16.318437,154,3964.021452
-232.509074,704,4213.731694
254.607301,48,4239.310181
-8340.139522,2000,4980.819989
-2415.859375,2000,5883.193336
-384.608088,693,6192.979007
254.427036,31,6216.019172
158.095389,161,6281.378307
264.872797,31,6300.133168
215.510759,46,6327.115347
249.900357,57,6351.308327
221.959219,44,6377.081907
291.919337,15,6387.485761
273.92782,25,6403.770813
237.476727,39,6443.420092
176.53683,59,6476.329319
261.827071,28,6495.954097
245.28896,31,6518.716198
288.282217,16,6531.281904
263.855951,31,6549.875916
289.838553,16,6561.843147
286.87925,19,6588.759533
196.365304,50,6615.769672
290.767131,12,6627.491398
237.404221,43,6668.630607
206.230179,49,6696.40259
287.370653,18,6723.259218
208.468111,43,6751.397128
239.156802,49,6780.953771
214.20446,36,6806.59797
209.548717,46,6831.418031
266.937955,25,6849.861197
185.981778,59,6880.490683
197.718241,42,6906.197532
210.657724,60,6948.521846
206.879612,41,6989.160951
231.9476,45,7015.003713
214.347469,56,7042.037589
249.098424,48,7067.609194
238.760089,35,7088.571548
273.300216,31,7108.034393
274.475985,19,7123.178653
272.271854,30,7157.877896
251.308389,35,7192.996638
260.281473,26,7226.285978
289.75964,11,7252.460234
228.118617,36,7291.292253
246.190113,31,7313.093495
211.705923,49,7357.139947
256.477392,30,7378.319792
289.398003,15,7390.777114
248.374633,29,7411.10972
137.947919,94,7455.860671
131.333734,72,7494.664355
242.722049,43,7519.77021
163.868719,73,7563.332094
204.445916,43,7591.737933
211.638475,38,7617.565938
250.376492,38,7642.057093
246.019043,43,7668.058814
242.051196,36,7690.330178
247.977423,35,7713.02831
221.932876,42,7740.665518
247.457615,36,7765.611221
212.131618,37,7792.122276
171.170367,46,7836.038756
277.779835,19,7852.260441
147.415395,66,7903.582626
238.495841,36,7921.376162
276.670138,19,7938.417435
276.402769,22,7957.726583
263.337036,37,7978.871858
250.84316,29,8000.679296
270.404437,35,8022.609876
198.565704,51,8051.387988
213.129246,35,8077.038307
278.916097,37,8097.83397
251.157153,51,8137.137222
261.388742,39,8173.329114
287.119923,18,8186.110961
217.512176,50,8217.608189
269.207191,33,8238.496954
201.541833,34,8263.776858
300,1,8270.342541
265.740818,35,8303.279196
262.395555,40,8339.141088
249.121633,44,8376.906451
221.016036,52,8404.063835
208.636228,42,8430.517466
275.794568,22,8447.155939
132.641342,61,8483.98358
185.114608,65,8532.076967
212.569806,51,8562.811788
258.793585,23,8580.738378
270.425813,24,8598.057669
179.470607,56,8633.41873
226.900523,59,8667.018649
258.612162,24,8686.571205
219.986948,32,8711.176732
270.891886,33,8731.251452
250.017448,29,8765.392022
238.016732,46,8791.187326
283.85796,25,8809.134262
280.637646,26,8823.373773
300,1,8844.343496
174.637594,57,8878.526956
196.80883,53,8907.558661
267.629487,34,8924.648639
267.017041,20,8940.821348
266.456835,40,8963.116535
276.594584,25,8980.730722
285.765838,15,9009.177365
243.915202,31,9030.233859
248.794257,28,9051.365789
188.015094,38,9078.177412
241.019351,37,9100.75454
268.020233,27,9119.603346
205.066174,39,9157.533459
240.306249,33,9191.623403
236.533366,28,9227.393244
196.787822,37,9253.67091
213.392941,46,9293.698857
263.241771,21,9312.154603
276.42083,15,9341.273877
192.419182,54,9370.685422
255.593356,56,9399.690943
300,1,9405.852864
277.675419,36,9438.717583
279.502795,18,9454.869051
265.11126,23,9487.58736
260.645042,26,9506.12895
273.610673,24,9537.036216
284.903331,32,9554.456403
242.785658,37,9578.843855
259.774159,32,9601.319604
271.128696,34,9636.412951
228.655189,37,9661.214104
167.530204,63,9696.420512
250.915655,43,9735.692561
158.483101,67,9773.318727
269.64139,19,9789.972974
291.816209,11,9816.749473
232.0422,31,9839.607606
162.85718,62,9874.462336
222.996403,49,9904.355453
288.879349,19,9931.411284
226.592477,28,9969.758035
246.08489,32,9990.681192
274.520103,31,10011.772739
249.122113,31,10032.40548
207.604674,40,10059.548237
214.290368,39,10087.499259
218.730244,32,10126.717968
252.441407,44,10165.311743
264.906056,23,10196.660338
250.597025,36,10222.134748
189.115809,39,10248.461734
255.200688,25,10266.661483
215.219005,38,10292.886339
259.883621,28,10315.4536
197.690063,70,10350.771991
276.664414,23,10367.515697
173.594965,53,10411.238612
290.643162,18,10425.773824
214.732238,34,10450.797905
176.536881,41,10482.156372
162.660149,43,10512.774726
237.957107,32,10537.013712
206.255894,37,10562.208113
247.074476,27,10583.077403
293.549734,11,10595.93203
222.545315,41,10622.07141
283.701022,15,10650.931649
255.346739,24,10669.646329
272.031938,31,10704.227412
224.302018,35,10727.544938
300,1,10734.683229
288.191844,14,10761.569844
247.617216,27,10781.821291
275.203141,23,10798.251016
245.456441,44,10838.21604
235.454907,54,10865.979358
220.436049,42,10894.518718
258.447174,25,10913.292273
258.563419,30,10935.380535
219.381095,31,10959.536016
196.165362,39,10986.231303
287.636354,18,10998.953701
117.499654,59,11029.797843
172.802473,52,11074.510884
168.833302,42,11103.772996
277.695275,26,11121.891195
294.234389,10,11146.957923
210.923497,39,11173.170296
300,1,11179.661214
300,1,11199.673867
226.352917,33,11238.355149
173.339958,43,11265.449653
251.49472,32,11286.428948
205.399807,37,11312.710087
292.359278,14,11326.883922
252.940815,26,11347.628532
212.350951,42,11374.156977
252.502532,29,11396.286974
273.567449,23,11428.217043
248.15041,27,11448.459548
252.564669,28,11470.466392
275.343523,19,11487.096046
196.120586,42,11513.962286
249.16661,31,11536.915684
276.209721,23,11555.920812
293.612035,9,11581.739471
292.098212,11,11594.300522
281.334889,17,11623.140201
220.308924,37,11648.962934
244.468177,26,11669.518393
300,1,11676.277743
248.818655,29,11698.272319
274.131617,22,11716.993908
206.884236,42,11759.158867
257.386763,28,11780.626663
178.239296,42,11812.388839
207.40944,40,11838.074656
225.560937,31,11875.728602
273.307225,25,11907.287892
230.745175,30,11942.556885
238.264777,31,11965.876357
209.203204,39,11991.800968
157.895241,45,12035.136406
258.107962,25,12069.099754
258.775957,26,12090.013574
186.453585,38,12118.953896
294.145117,8,12143.485262
214.028076,41,12170.418223
213.751145,34,12195.652731
284.789924,24,12212.33145
204.361304,39,12240.058938
180.666188,39,12271.814763
275.287075,17,12289.177026
240.762337,27,12322.055857
269.382267,26,12352.409705
214.561311,36,12379.101681
156.458487,46,12408.686504
182.021174,43,12438.078375
300,1,12445.091194
174.447323,43,12486.349296
164.026961,47,12530.702789
226.049462,36,12557.398864
286.529756,18,12571.231723
205.486759,37,12595.993925
219.815663,29,12631.962188
203.197791,50,12673.685968
259.510144,23,12692.850871
250.51802,31,12713.885408
242.400789,27,12732.46904
290.395671,18,12746.387795
224.965162,33,12770.160471
263.336727,24,12802.085993
277.577376,19,12817.639822
270.454947,18,12848.072142
260.991845,21,12865.0504
244.062326,31,12886.597282
271.610242,29,12906.668633
273.562849,20,12923.310451
280.625963,20,12952.679257
206.763395,34,12975.595145
271.845335,23,12994.07697
276.918505,21,13010.104419
288.124381,16,13036.571127
226.144354,30,13073.543136
240.238211,31,13108.304482
265.808893,20,13120.546775
277.635998,22,13151.63263
294.380454,8,13162.765073
300,1,13183.459859
292.188297,11,13194.183112
290.289298,10,13219.884359
273.268845,23,13238.212475
243.50811,31,13259.849731
242.34706,29,13281.410926
292.280557,10,13306.963267
212.148821,54,13337.971556
239.016319,38,13360.32394
264.427517,43,13384.98245
300,1,13392.500547
216.642108,43,13433.570781
271.395884,18,13463.311965
246.978518,30,13498.316131
292.519091,9,13505.389524
162.170708,48,13540.312705
248.418541,30,13560.61074
229.956175,29,13583.543625
198.662004,46,13612.459193
248.554397,50,13640.160138
294.881303,8,13650.811721
224.84295,41,13675.662396
292.448778,12,13687.223172
294.092468,8,13699.430166
162.849193,48,13729.84759
220.825376,47,13757.864365
235.225779,29,13778.567629
300,1,13799.281904
294.351883,8,13809.063968
260.807817,25,13842.135494
103.376473,55,13874.983037
243.83035,31,13897.985656
218.521901,38,13922.604673
222.776834,36,13947.935827
250.515265,36,13971.317701
234.911087,28,13994.200716
149.082157,47,14025.528475
269.029095,36,14047.753303
289.609281,15,14059.38184
209.49914,33,14085.987423
295.62866,8,14109.797966
279.019785,18,14125.797837
173.898102,47,14153.726154
246.183231,30,14176.021898
287.848384,16,14202.73868
263.154456,23,14233.15189
216.491391,36,14258.809747
294.568883,9,14265.56872
294.682968,11,14277.846446
287.785278,14,14291.225715
286.537981,18,14305.322136
252.521713,25,14326.73753
282.299894,15,14356.376509
293.977472,9,14368.536972
300,1,14375.250766
280.380997,20,14405.045525
223.841189,34,14444.208893
291.417999,10,14455.265895
234.963477,32,14490.674185
203.236501,39,14516.278487
177.479372,46,14558.379043
291.814521,13,14570.605352
234.167885,30,14608.304422
207.512633,34,14627.50926
