#{"t_start": 1595534290.4263256, "env_id": null}
r,l,t
-866.475495,157,75.976718
-99.269403,56,126.679977
-19.877516,63,162.573221
-230.81901,85,215.114805
17.356106,62,260.12305
-324.828873,91,310.839943
-172.930789,84,355.81961
-320.747601,102,424.461942
-52.387531,92,471.615051
-169.968755,81,516.244846
49.832898,33,537.358908
-73.198954,74,577.828241
23.072333,49,608.644917
73.836509,26,641.310206
43.199428,36,665.338189
-74.837128,64,704.013379
86.630345,16,716.739859
-218.080934,83,762.471004
-133.837115,61,803.441719
-63.588155,77,841.565134
-78.205521,78,880.141335
-321.64778,98,933.090013
-139.284902,100,982.649933
-1.941886,43,1010.765743
47.713219,49,1050.016541
2.578737,61,1080.045278
78.600873,16,1095.410436
-331.226133,184,1178.215514
-109.921633,73,1217.984284
-40.022282,43,1264.049694
71.3019,26,1283.1748
-215.223926,255,1381.845909
-10.21583,49,1414.801125
-123.972037,65,1469.4667
18.100227,35,1505.771412
-181.718044,67,1545.892255
-154.843944,68,1591.034835
78.513305,18,1608.955035
31.89753,27,1631.408849
-43.408604,67,1669.471985
-14.95501,67,1701.071459
38.632718,24,1724.202584
0.633153,43,1750.860256
-30.218147,47,1785.466206
59.604154,28,1809.249494
-88.105456,62,1844.669502
-4.637169,46,1872.362401
-198.476862,71,1918.005012
-21.547101,45,1947.971514
-298.529543,92,2000.360212
56.145835,33,2022.883766
58.810075,44,2061.983524
-36.933752,56,2096.841942
-30.461421,54,2131.946045
49.131952,42,2156.50273
24.467988,35,2180.562446
70.518433,33,2215.359792
-151.295876,76,2254.215824
-304.220639,85,2305.282001
-22.058786,40,2334.845992
-18.630889,46,2377.740537
86.801585,19,2393.705184
